current_index,message,options,nextIndex
1,What is your name?,"[]",2
2,Enter your EmailId,"[]",3
3,Enter your mobile Number,"[]",4
4,What gender do you identify as?,"[ 
        ""Male"", 
        ""Female"", 
        ""other""
    ]",5
5,What is your age?,"[]",6
6,Please specify your ethnicity,"[
        ""Caucasian"", 
        ""African-American"",
        ""Latino or Hispanic"", 
        ""Asian"",
        ""Native American"", 
        ""Native Hawaiian or Pacific Islander"",
        ""Two or More"", 
        ""Other"", 
        ""Prefer not to say""
]",7
7,Where is your home located?,"[
        ""North America/Central America"", 
        ""South America"",
        ""Europe"",
        ""Africa"",
        ""Asia"", 
        ""Australia"",
        ""Caribbean Islands"", 
        ""Pacific Islands"", 
        ""Other"", 
        ""Prefer not to say""
]",8
8,What is the highest degree or level of education you have completed?,"[
        ""Some High School"", 
        ""High School"",
        ""Bachelor's Degree"", 
        ""Master's Degree"",
        ""Ph.D. or higher"", 
        ""Trade School"",
        ""Prefer not to say""
]",9
9,Are you married?,"[ 
        ""Yes"", 
        ""No"", 
        ""Prefer not to say""
    ]",10
10,What is your current employment status?,"[ 
        ""Employed Full-Time"", 
        ""Employed Part-Time"", 
        ""Seeking opportunities"", 
        ""Retired"", 
        ""Prefer not to say""
    ]",11
11,How many children do you have?,"[ 
        ""None"", 
        ""1"", 
        ""2-4"", 
        ""More than 4"", 
        ""Prefer not to say""
    ]",12
12,What is Kevell Care ?,"[ 
        ""Kevell Care is a health care product helping you to diagnose without in person visit with a doctor.""
    ]",13
13,How is it possible ?,"[ 
        ""By utilising the following options: Kiosk,Home Kit,Smart Kiosk,smart Watch""
    ]",14
14,What is Kiosk ?,"[ 
        ""Kiosk is a high quality, secured computer connected with medical devices & connected with the doctor remotely.""
    ]",15
15,What is Home Kit ?,"[
        ""Home Kit is a medical devices enabled Kit connected with the doctor remotely; it empowers customers to monitor their health at home.""
    ]",16
16,What is SmartKiosk ?,"[
        ""Kevell Care enables your home television as Smart Kiosk by installing our app inside; so from home by sitting on the couch itself the customer can get connected with the scheduled doctor.""
    ]",17
